State,District,Year,Women age group 15 to 49 years who are anaemic (%) (UOM:%(Percentage)) |Scaling Factor:1,Married women age group 15 to 49 years use any family planning methods (%) (UOM:%(Percentage)) |Scaling Factor:1,Children age group 12 to 23 months fully vaccinated based on information from either vaccination card or mothers recall (%) (UOM:%(Percentage)) |Scaling Factor:1,Children age group 12 to 23 months fully vaccinated based on information from vaccination card only (%) (UOM:%(Percentage)) |Scaling Factor:1,Children under 5 years who are stunted (height-for-age) (%) (UOM:%(Percentage)) |Scaling Factor:1,Households using clean fuel for cooking (%) (UOM:%(Percentage)) |Scaling Factor:1,Institutional births (%) (UOM:%(Percentage)) |Scaling Factor:1,Population living in households that use an improved sanitation facility (%) (UOM:%(Percentage)) |Scaling Factor:1,Population living in households with electricity (%) (UOM:%(Percentage)) |Scaling Factor:1,"Population and household profile-sex ratio of the total population (females per 1,000 males) (UOM:Number) |Scaling Factor:1",Women age group 15 to 49 years who are literate (%) (UOM:%(Percentage)) |Scaling Factor:1,Women with 10 or more years of schooling (%) (UOM:%(Percentage)) |Scaling Factor:1
Andaman And Nicobar Islands,Nicobars,"Calendar Year (Jan - Dec), 2019",38.3,65.3,64.2,94.1,21.6,56.9,97.8,83.5,97.9,973,87.5,53.5
Andaman And Nicobar Islands,North And Middle Andaman,"Calendar Year (Jan - Dec), 2019",62.1,84.1,0,0,27,61.3,97.7,86.4,93.2,950,84,41
Andaman And Nicobar Islands,South Andamans,"Calendar Year (Jan - Dec), 2019",57.7,57.1,76.3,96.6,21.1,91.9,99.5,89.3,99.6,967,86.7,57.5
Andhra Pradesh,Ananthapuramu,"Calendar Year (Jan - Dec), 2019",50.5,67.6,81.8,96.6,36,86.4,94.7,71.3,99.6,1047,63.6,31.3
Andhra Pradesh,Chittoor,"Calendar Year (Jan - Dec), 2019",51.8,69,66.6,87.5,27.1,86.6,97.1,74.6,99.7,1024,69.3,40.3
Andhra Pradesh,East Godavari,"Calendar Year (Jan - Dec), 2019",63,66.3,59,67.3,23.1,80.3,96.6,77.7,98.8,995,77.9,43.2
Andhra Pradesh,Guntur,"Calendar Year (Jan - Dec), 2019",59.5,73.3,76.2,100,23.8,91.7,98.6,83.4,99.2,1055,68.5,32.6
Andhra Pradesh,Krishna,"Calendar Year (Jan - Dec), 2019",60.3,79.1,90,97.2,29.8,89.8,98.9,79.1,99.6,1064,76.9,46.2
Andhra Pradesh,Kurnool,"Calendar Year (Jan - Dec), 2019",58.6,70,67,80.4,50.5,78.1,88.5,73.5,99.9,1045,57,33.4
Andhra Pradesh,Prakasam,"Calendar Year (Jan - Dec), 2019",60.4,69,51.9,0,22.6,90.8,97.4,78.4,99.3,1011,62.8,34.5
Andhra Pradesh,Sri Potti Sriramulu Nellore,"Calendar Year (Jan - Dec), 2019",59.4,71.9,65.3,80.1,29.2,84.6,97,81.8,99.1,1049,70.5,38.7
Andhra Pradesh,Srikakulam,"Calendar Year (Jan - Dec), 2019",62.6,72.3,82.8,100,19.7,74.7,97.9,71.6,99.9,1140,64.3,42.5
Andhra Pradesh,Visakhapatnam,"Calendar Year (Jan - Dec), 2019",58,68,76.5,93.5,31,72.9,95.3,77.8,99.6,1066,69.5,46
Andhra Pradesh,Vizianagaram,"Calendar Year (Jan - Dec), 2019",64,71.2,76.8,0,36.4,60.3,99,61.7,99.5,1114,58.3,37.6
Andhra Pradesh,West Godavari,"Calendar Year (Jan - Dec), 2019",63,77.8,80,87,31.4,86.8,98.7,80.8,99.3,999,77,46.5
Andhra Pradesh,Y.S.R.,"Calendar Year (Jan - Dec), 2019",56.1,69.1,83,89.7,34.4,94.3,99.4,85.4,99.8,1058,63.8,40
Arunachal Pradesh,Anjaw,"Calendar Year (Jan - Dec), 2019",35.9,64.7,93,90.5,23.6,29,78,86.8,96.4,939,66.4,28.8
Arunachal Pradesh,Changlang,"Calendar Year (Jan - Dec), 2019",57.2,71.4,70.9,86.1,26.3,34.1,75.1,82.3,95.2,963,74,30.5
Arunachal Pradesh,Dibang Valley,"Calendar Year (Jan - Dec), 2019",62.9,69.1,90.7,91.2,16.9,49.3,85.5,95,79.2,983,76.6,43.2
Arunachal Pradesh,East Kameng,"Calendar Year (Jan - Dec), 2019",26.2,64.9,60.8,78.3,35.7,49.5,76,75.6,86.3,985,59.1,31.8
Arunachal Pradesh,East Siang,"Calendar Year (Jan - Dec), 2019",35.2,40,48.8,65.6,24.6,52.4,90.8,83.9,97.3,1059,81.9,55.6
Arunachal Pradesh,Kra Daadi,"Calendar Year (Jan - Dec), 2019",22.6,46.1,63.6,70.3,28.8,78.3,73.5,89.3,99.7,976,53.5,27.4
Arunachal Pradesh,Kurung Kumey,"Calendar Year (Jan - Dec), 2019",34.8,54.1,71.4,76.7,29.2,57.3,69.2,78.3,99.2,997,76,34.7
Arunachal Pradesh,Lohit,"Calendar Year (Jan - Dec), 2019",47.2,57,74,77,24.5,63.9,90.2,83.7,98.9,1001,70.9,37.3
Arunachal Pradesh,Longding,"Calendar Year (Jan - Dec), 2019",34.1,68.6,52.7,75.2,15.8,22.4,64.5,83.5,97.4,926,70.2,27.7
Arunachal Pradesh,Lower Dibang Valley,"Calendar Year (Jan - Dec), 2019",34.6,75.3,73.8,81,14.3,57.4,90.1,89.9,84.4,1010,80,51.9
Arunachal Pradesh,Lower Subansiri,"Calendar Year (Jan - Dec), 2019",40.5,65.9,66.5,88.7,30.7,60.8,89.8,82.8,97.8,1016,73.4,49.9
Arunachal Pradesh,Namsai,"Calendar Year (Jan - Dec), 2019",58.6,69.5,67.2,83.4,28.7,28.7,63.6,75.1,96.5,982,62.6,22.2
Arunachal Pradesh,Papum Pare,"Calendar Year (Jan - Dec), 2019",38.4,47.7,60.7,74.3,29.7,81.3,88,75.7,98.7,1039,77,50.5
Arunachal Pradesh,Siang,"Calendar Year (Jan - Dec), 2019",23.9,73.7,60.3,,21.3,27.6,81.1,91.2,99.6,968,85.3,50.6
Arunachal Pradesh,Tawang,"Calendar Year (Jan - Dec), 2019",59.1,62.1,67.5,76.8,30.4,88.1,84.2,81.7,99.7,1063,56.6,39.2
Arunachal Pradesh,Tirap,"Calendar Year (Jan - Dec), 2019",32,56.1,66.3,71.2,38.6,50.4,70.2,86.7,98.8,964,72.8,40.2
Arunachal Pradesh,Upper Siang,"Calendar Year (Jan - Dec), 2019",29.2,62,61.4,67.2,30.4,36.3,76,91.8,99.5,894,70.9,34.8
Arunachal Pradesh,Upper Subansiri,"Calendar Year (Jan - Dec), 2019",36.7,53.2,68.5,76.3,36.8,32.8,77,80.9,87,1052,62.3,31.8
Arunachal Pradesh,West Kameng,"Calendar Year (Jan - Dec), 2019",37.4,53.8,56.2,61,24.2,88.9,93.6,88.9,97.5,971,71.1,43.6
Arunachal Pradesh,West Siang,"Calendar Year (Jan - Dec), 2019",30.5,46.6,55.4,60,24.5,57.1,84.6,87.7,88.2,1018,76.1,46.3
Assam,Baksa,"Calendar Year (Jan - Dec), 2019",73.6,59.2,70.5,67.3,41.2,35.2,89.9,68.9,98.1,1057,74.8,27.8
Assam,Barpeta,"Calendar Year (Jan - Dec), 2019",64.8,57.3,54.6,59.6,29.8,38.7,87.6,63.7,88.9,1027,74.8,31.7
Assam,Biswanath,"Calendar Year (Jan - Dec), 2019",64.4,72.4,66.2,74.3,42.7,35,84.3,76.6,91.1,996,69.2,23
Assam,Bongaigaon,"Calendar Year (Jan - Dec), 2019",70.6,57.6,67.9,73.2,46.2,49.8,84.5,72.5,97,998,75.8,28.6
Assam,Cachar,"Calendar Year (Jan - Dec), 2019",57.4,48,70.4,82.1,28.7,43,79.2,57.6,81.7,1012,77.2,25.8
Assam,Charaideo,"Calendar Year (Jan - Dec), 2019",72.3,67,74,81.5,39,27.3,88.2,75.9,91.7,1027,71.9,26.2
Assam,Chirang,"Calendar Year (Jan - Dec), 2019",65.2,65.8,71.1,68.2,42.7,44.5,83.7,77.1,97.8,1015,71.5,23
Assam,Darrang,"Calendar Year (Jan - Dec), 2019",70.4,46.8,57.1,58.1,42,30.1,84.4,67.9,89.5,929,75.6,27.5
Assam,Dhemaji,"Calendar Year (Jan - Dec), 2019",62.9,72.6,89.7,90.8,37.2,21.6,87.3,70.8,95,1028,81.5,43.6
Assam,Dhubri,"Calendar Year (Jan - Dec), 2019",63.2,64.1,71.6,69.5,48.5,40.7,64.2,61.8,92.5,1000,69.5,20.4
Assam,Dibrugarh,"Calendar Year (Jan - Dec), 2019",70.8,64.6,83.8,85.5,27.3,44.7,93.1,75.3,94.4,1002,76.6,33.7
Assam,Dima Hasao,"Calendar Year (Jan - Dec), 2019",60.5,65.5,63.6,63.8,30.6,48.2,89.5,83.8,95.9,959,87.7,42.4
Assam,Goalpara,"Calendar Year (Jan - Dec), 2019",64.9,66.8,70.3,72.7,38.9,36.3,92.3,75.3,89.6,1007,74.1,23.4
Assam,Golaghat,"Calendar Year (Jan - Dec), 2019",77.2,61.6,72.4,75.9,26.3,33.1,90.4,73.1,96.4,1002,75.1,27.9
Assam,Hailakandi,"Calendar Year (Jan - Dec), 2019",61.4,66.8,68.6,76.9,42.9,35.2,83,60,91.2,1054,82.2,25.3
Assam,Hojai,"Calendar Year (Jan - Dec), 2019",56.3,61.1,55.5,63.6,39.3,52,82.1,63.1,96.3,986,83.2,23.1
Assam,Jorhat,"Calendar Year (Jan - Dec), 2019",71.8,63.8,69.2,70.4,38.7,48.3,96.5,80.4,95.1,1009,85.1,42.9
Assam,Kamrup,"Calendar Year (Jan - Dec), 2019",71.5,38.7,63.6,73,22.6,57.4,85,68.7,94.8,997,79.6,39.2
Assam,Kamrup Metro,"Calendar Year (Jan - Dec), 2019",74.6,56.8,53.6,69,25.4,85.1,89.1,65.2,99.2,946,86,49.1
Assam,Karbi Anglong,"Calendar Year (Jan - Dec), 2019",59,66.3,64.3,74.3,31.6,33.4,74.9,75.2,97,994,78.8,30.3
Assam,Karimganj,"Calendar Year (Jan - Dec), 2019",52,64.3,75.1,75.9,29.1,39.6,76.4,61.5,87.1,1000,80.7,19.6
Assam,Kokrajhar,"Calendar Year (Jan - Dec), 2019",59.5,72.3,51.1,52.6,34.6,43.3,81.9,72.2,93.9,1025,73.7,27.5
Assam,Lakhimpur,"Calendar Year (Jan - Dec), 2019",65.4,67.1,69,72.4,38.5,36.1,96.2,74.2,97.2,983,83.9,42.1
Assam,Majuli,"Calendar Year (Jan - Dec), 2019",67.8,63.7,78.6,83.9,35.4,19.3,90.3,65.6,93.5,995,83.4,41.7
Assam,Marigaon,"Calendar Year (Jan - Dec), 2019",64.2,70.6,73.4,82.9,43.2,37.6,88.3,62.3,89.5,1055,78.7,24.5
Assam,Nagaon,"Calendar Year (Jan - Dec), 2019",61,58.6,58.2,68,38.9,38.6,83.7,66.1,94.5,1050,78.4,22.1
Assam,Nalbari,"Calendar Year (Jan - Dec), 2019",66.4,53.3,65.5,79.8,27.5,51.1,91.8,68.1,94.7,1043,83.9,41.6
Assam,Sivasagar,"Calendar Year (Jan - Dec), 2019",67.6,67.3,77.6,76.7,26.1,45.5,95.3,82.3,97,989,86.6,47.1
Assam,Sonitpur,"Calendar Year (Jan - Dec), 2019",63.6,74.4,70.9,76.8,36.7,45.8,83.5,72.2,88.2,1027,76.9,24.3
Assam,South Salmara Mancachar,"Calendar Year (Jan - Dec), 2019",57.1,71.5,65.8,66,38.9,28.5,71.7,59,79.5,968,63.5,20.9
Assam,Tinsukia,"Calendar Year (Jan - Dec), 2019",72.8,59.2,75,78.8,32.8,40.9,82.6,66.7,95.7,1023,70.5,25.6
Assam,Udalguri,"Calendar Year (Jan - Dec), 2019",81.5,50.2,38.3,52,33.8,34,86.2,73.8,95.5,1087,70,23.8
Assam,West Karbi Anglong,"Calendar Year (Jan - Dec), 2019",57.9,69.9,47.9,54.5,40.9,17.7,72.5,76.7,94.7,959,73.9,21.7
Bihar,Araria,"Calendar Year (Jan - Dec), 2019",67.9,46,61.6,71.1,49.9,15.2,66.2,32.2,96.2,1094,43.7,16.8
Bihar,Arwal,"Calendar Year (Jan - Dec), 2019",66.9,60.5,84.2,89,45.6,29.3,79.2,43.4,97.4,1076,62.5,32.9
Bihar,Aurangabad,"Calendar Year (Jan - Dec), 2019",60.5,69.4,89.7,90.6,41.2,38.9,77.5,47.1,97.7,1074,67.6,36.9
Bihar,Banka,"Calendar Year (Jan - Dec), 2019",65.9,71.5,88.1,89.5,46.7,32.3,79.8,38.2,96.2,1083,55.7,22.6
Bihar,Begusarai,"Calendar Year (Jan - Dec), 2019",62.9,55.8,65.8,80.8,37.8,45.2,86,62.2,96.2,1076,62.3,34.1
Bihar,Bhagalpur,"Calendar Year (Jan - Dec), 2019",73,57.4,66.8,81,40,49.2,77.2,60.9,94.5,986,65.6,35.1
Bihar,Bhojpur,"Calendar Year (Jan - Dec), 2019",73.6,63.9,61.9,80.6,40.7,42.9,86.9,45.9,97.9,1003,64.1,34.6
Bihar,Buxar,"Calendar Year (Jan - Dec), 2019",66.2,60.5,75,81.7,39.6,44.7,89.5,52.4,98.5,1005,68.1,33.3
Bihar,Darbhanga,"Calendar Year (Jan - Dec), 2019",60.8,61.3,66.3,80.7,45.4,41.6,69.9,48.7,97.2,1122,49.4,22.7
Bihar,Gaya,"Calendar Year (Jan - Dec), 2019",64.3,73.3,85,84.2,47.4,34.7,76.6,44.4,97.9,1080,59.4,30.7
Bihar,Gopalganj,"Calendar Year (Jan - Dec), 2019",53.8,57.3,75.8,97.9,34.2,39.4,85.9,60.1,96.2,1157,63.3,32.9
Bihar,Jamui,"Calendar Year (Jan - Dec), 2019",75.2,69.6,66.4,80.2,43,40.2,73.4,37.6,97.9,1090,48.7,20.6
Bihar,Jehanabad,"Calendar Year (Jan - Dec), 2019",68.1,52.5,70.3,79.1,41.3,34.3,89.1,45.5,99.3,1085,63.2,30.5
Bihar,Kaimur (Bhabua),"Calendar Year (Jan - Dec), 2019",70.3,78.6,88.9,90.4,44.1,29,83.3,59.1,96.7,1018,66,29.5
Bihar,Katihar,"Calendar Year (Jan - Dec), 2019",68.4,33.8,73.7,82.6,43.9,16.9,66.9,44.6,92,1053,49.7,19.8
Bihar,Khagaria,"Calendar Year (Jan - Dec), 2019",59.5,40.9,64.7,84.3,34.8,33.2,74.2,65,94.5,1111,51.8,26.6
Bihar,Kishanganj,"Calendar Year (Jan - Dec), 2019",65.1,25.3,67.3,80.9,38.8,15.3,54.6,52.4,95.8,1199,48,15
Bihar,Lakhisarai,"Calendar Year (Jan - Dec), 2019",72.6,67,68.9,76.8,42.7,42.6,75.8,51.6,98,1074,57.9,30
Bihar,Madhepura,"Calendar Year (Jan - Dec), 2019",65.7,55.8,72,87.7,46.3,13.4,75,34.6,97,1148,47.6,23.2
Bihar,Madhubani,"Calendar Year (Jan - Dec), 2019",61.4,47.4,74.1,85.6,43.3,40,73.7,38.2,98.6,1227,53.2,26.5
Bihar,Munger,"Calendar Year (Jan - Dec), 2019",71.4,68.6,73.4,84.8,35.5,59.4,93.2,62.8,98.4,1032,69.5,44.4
Bihar,Muzaffarpur,"Calendar Year (Jan - Dec), 2019",58.9,66.1,74.9,83.7,42.6,41.5,72.5,55.2,96.6,1097,63,33.8
Bihar,Nalanda,"Calendar Year (Jan - Dec), 2019",71,72.3,75.2,83.8,42.6,41,80.3,52.5,98.9,1048,56.1,28.8
Bihar,Nawada,"Calendar Year (Jan - Dec), 2019",70.4,69.8,74.5,85.2,49.4,40.7,79.9,47.9,97.4,1099,62.1,37.3
Bihar,Pashchim Champaran,"Calendar Year (Jan - Dec), 2019",50.6,50.7,62.1,82.7,43.5,31.4,79.5,43.3,93.5,1088,52.5,21.6
Bihar,Patna,"Calendar Year (Jan - Dec), 2019",67.1,49.3,56.6,72.5,34.5,64.6,89.1,61,99,950,67.6,43.6
Bihar,Purbi Champaran,"Calendar Year (Jan - Dec), 2019",57.3,49.9,68.3,73.8,49.1,44.2,61.5,48.3,94.8,1185,50.2,20.1
Bihar,Purnia,"Calendar Year (Jan - Dec), 2019",66,25.7,62.7,81.8,43.5,19.3,68.9,35.6,92.4,1128,47.5,19.2
Bihar,Rohtas,"Calendar Year (Jan - Dec), 2019",64.9,73.9,86.8,93.6,40,47.4,89.1,69,98.5,1040,76.5,42.6
Bihar,Saharsa,"Calendar Year (Jan - Dec), 2019",65.3,44.7,72.2,88.5,47.8,25.2,70.4,40.5,97.2,1128,43.1,20.9
Bihar,Samastipur,"Calendar Year (Jan - Dec), 2019",60.5,63.7,71.4,85.5,44,36.1,83.4,48.8,95.7,1071,54.3,26.5
Bihar,Saran,"Calendar Year (Jan - Dec), 2019",62.8,41.1,72,85.7,39.7,36.8,73,37.2,93.6,1077,65.6,35.5
Bihar,Sheikhpura,"Calendar Year (Jan - Dec), 2019",69.5,78.8,82.8,86.6,53.6,40.3,89.2,54.2,97.3,1074,55,28.3
Bihar,Sheohar,"Calendar Year (Jan - Dec), 2019",61.6,65.6,62.9,73.5,34.4,31.3,74.3,57.9,97.6,1066,52.5,21
Bihar,Sitamarhi,"Calendar Year (Jan - Dec), 2019",61.7,52.8,66.6,76.1,54.2,40.5,64.4,50.7,93.1,1209,51.7,19.2
Bihar,Siwan,"Calendar Year (Jan - Dec), 2019",53.1,53.5,76.1,83.2,36.7,48,86.4,47.7,95.3,1141,70.9,38.9
Bihar,Supaul,"Calendar Year (Jan - Dec), 2019",60.7,63.7,73.6,80.5,42.3,15,80.4,50.7,97.3,1126,42.1,16.2
Bihar,Vaishali,"Calendar Year (Jan - Dec), 2019",63.1,45.8,71,84.2,38.3,40.9,81.6,52.6,96.5,1069,62.4,34
Chhattisgarh,Balod,"Calendar Year (Jan - Dec), 2019",56.4,83.5,85.2,92.4,33.6,33.3,97.4,83.8,99.7,988,78.6,46.3
Chhattisgarh,Balodabazar-Bhatapara,"Calendar Year (Jan - Dec), 2019",61.2,71.5,77.3,84.7,40.9,24.9,78.1,78.9,99.2,1070,73.4,38.7
Chhattisgarh,Balrampur Ramanujganj,"Calendar Year (Jan - Dec), 2019",63.4,52,76.1,86.2,35.1,13.2,78.9,57.3,97.9,980,65.4,32.2
Chhattisgarh,Bastar,"Calendar Year (Jan - Dec), 2019",77.2,54.2,57.3,61.1,48.1,31.6,63.5,61,96.8,1068,52.9,25.3
Chhattisgarh,Bemetara,"Calendar Year (Jan - Dec), 2019",47,75.6,93.4,93.4,38.4,18.9,95,80.5,99.7,972,71.1,33
Chhattisgarh,Bijapur,"Calendar Year (Jan - Dec), 2019",72.1,35.7,78.4,79,53.8,18.5,63.6,30.6,86.8,1069,44.7,24.2
Chhattisgarh,Bilaspur,"Calendar Year (Jan - Dec), 2019",58.5,58.5,52.5,69.5,25.7,42.2,79.4,80.5,98.6,1033,72.8,37.4
Chhattisgarh,Dakshin Bastar Dantewada,"Calendar Year (Jan - Dec), 2019",76,58.8,77.6,73.7,45.6,34.6,90.5,60.5,95.9,1098,49.3,24.2
Chhattisgarh,Dhamtari,"Calendar Year (Jan - Dec), 2019",59.6,81.1,80.6,82.3,30.5,30.9,94.3,89.8,99.9,1057,82.7,40.9
Chhattisgarh,Durg,"Calendar Year (Jan - Dec), 2019",51.7,80.6,82.7,87,38.9,76.3,96.7,89.5,99.6,957,80.3,52.7
Chhattisgarh,Gariyaband,"Calendar Year (Jan - Dec), 2019",64.6,76.2,83.4,81.1,28.9,17.1,87.6,81,98.7,1048,68.9,27.8
Chhattisgarh,Janjgir-Champa,"Calendar Year (Jan - Dec), 2019",66.3,74.8,85.5,86.8,32.5,24.8,86.2,78.8,99.5,999,74.9,37.3
Chhattisgarh,Jashpur,"Calendar Year (Jan - Dec), 2019",61.5,56,94.2,94.1,35.8,14.8,85.6,72.8,98.2,1038,73.1,34.9
Chhattisgarh,Kabeerdham,"Calendar Year (Jan - Dec), 2019",43.6,75.2,95.4,96.9,37.9,25,91.7,80.3,99.5,983,66.2,32.6
Chhattisgarh,Kondagaon,"Calendar Year (Jan - Dec), 2019",79.7,68.2,70.1,64.4,37.6,12.4,78.7,79.5,97.8,1033,54.7,24.7
Chhattisgarh,Korba,"Calendar Year (Jan - Dec), 2019",66.4,53.6,68.4,89.3,34.7,35.5,75.4,73.3,97.9,1034,73.2,37.1
Chhattisgarh,Korea,"Calendar Year (Jan - Dec), 2019",64.4,56.4,87.1,87,32.1,30.2,80.8,73.3,97.6,987,74.8,37
Chhattisgarh,Mahasamund,"Calendar Year (Jan - Dec), 2019",63,71.4,82.1,86.3,36.8,30.4,92.9,84.2,98.4,1057,70.6,31.2
Chhattisgarh,Mungeli,"Calendar Year (Jan - Dec), 2019",54.5,64,79.7,85.7,30.1,22.9,69.8,80.7,99.7,1022,66.5,32.2
Chhattisgarh,Narayanpur,"Calendar Year (Jan - Dec), 2019",72,57.7,81.7,82.7,43.7,19.5,74.2,52.8,90.1,1077,52,26.5
Chhattisgarh,Raigarh,"Calendar Year (Jan - Dec), 2019",62.2,64.1,90.9,91.9,39.1,29.8,87.7,66.3,99,1013,74.9,38.3
Chhattisgarh,Raipur,"Calendar Year (Jan - Dec), 2019",59.1,76.8,74.2,75.4,32.2,60.5,90.7,84,99.5,983,79.6,40.1
Chhattisgarh,Rajnandgaon,"Calendar Year (Jan - Dec), 2019",58.3,73.3,91,91,27.6,27.4,95.5,79.2,99.3,1014,80.6,38.9
Chhattisgarh,Sukma,"Calendar Year (Jan - Dec), 2019",78.4,53.7,73.3,76.8,41.8,14.4,81.2,35.5,98.3,1078,39.8,15.9
Chhattisgarh,Surajpur,"Calendar Year (Jan - Dec), 2019",60.7,59.8,78.7,85,27.6,24,85.9,75.4,98.7,950,66.9,30.7
Chhattisgarh,Surguja,"Calendar Year (Jan - Dec), 2019",58.3,55.2,84.6,89,29.4,24.5,85.3,75.8,99.3,1036,71,37.7
Chhattisgarh,Uttar Bastar Kanker,"Calendar Year (Jan - Dec), 2019",65.2,74.7,89.5,97,24.8,25.9,94.1,80.5,99.4,1030,77.2,40.3
Delhi,Central,"Calendar Year (Jan - Dec), 2019",44.6,68.5,82.1,94.1,33.5,98.8,92.2,77,99.8,901,83.5,57.1
Delhi,East,"Calendar Year (Jan - Dec), 2019",42.5,81.9,74.6,80.9,35.2,99.1,92.6,78,99.5,885,83,57.2
Delhi,New Delhi,"Calendar Year (Jan - Dec), 2019",56,77,82.2,87.5,27.4,98.3,91.8,69.4,100,859,81.8,57.9
Delhi,North,"Calendar Year (Jan - Dec), 2019",47.2,57.4,66.2,76.2,25,98.1,89.7,70.2,99.8,905,80,53.9
Delhi,North East,"Calendar Year (Jan - Dec), 2019",45.9,79,86.4,83.2,38.7,99.7,89.2,89.5,99.9,906,83.8,59.8
Delhi,North West,"Calendar Year (Jan - Dec), 2019",51.4,80,78.3,78,26.9,99.1,94,88.2,100,904,85,62.9
Delhi,Shahdara,"Calendar Year (Jan - Dec), 2019",49.2,78,82.5,75.5,32.9,99.8,95.8,83.4,99.9,935,83.9,58.4
Delhi,South,"Calendar Year (Jan - Dec), 2019",46.2,83.2,86.2,85.1,33.4,97.7,82,89.5,99.9,922,86.1,61.6
Delhi,South East,"Calendar Year (Jan - Dec), 2019",47.9,84.1,64.6,62.3,21.7,99.1,96.1,83.8,99.7,949,84.9,65.5
Delhi,South West,"Calendar Year (Jan - Dec), 2019",56.4,78.5,77.3,74.2,27.1,99.3,92.5,86.2,100,881,87.5,68.4
Delhi,West,"Calendar Year (Jan - Dec), 2019",57.2,75.4,67.5,78.4,36.1,99,91.8,76.8,100,953,82.3,56.3
Goa,North Goa,"Calendar Year (Jan - Dec), 2019",40,63.1,78.6,87.5,24.2,96.7,99.6,87.7,100,1017,92.4,72
Goa,South Goa,"Calendar Year (Jan - Dec), 2019",37.6,75,0,0,28.3,96.2,100,88.2,100,1040,93.8,70.9
Gujarat,Ahmadabad,"Calendar Year (Jan - Dec), 2019",63.7,79,65.2,76.5,35.5,89.7,94.5,86.4,99.5,928,81.5,42.7
Gujarat,Amreli,"Calendar Year (Jan - Dec), 2019",50,62.2,60.1,68.1,35.3,65.6,90.1,73.3,99.6,984,77.2,27.2
Gujarat,Anand,"Calendar Year (Jan - Dec), 2019",66.4,53.7,77,85.4,38.4,65.1,96,82.1,98,912,75.9,32.2
Gujarat,Arvalli,"Calendar Year (Jan - Dec), 2019",77.3,68.7,77,86.9,47.1,47.9,92.2,56.3,96.5,996,71.9,34.7
Gujarat,Banas Kantha,"Calendar Year (Jan - Dec), 2019",60,42.6,43.5,66.5,39,45.6,92.9,53.9,91.1,1007,63.7,17.6
Gujarat,Bharuch,"Calendar Year (Jan - Dec), 2019",71.8,36.2,80,92.1,40.9,60.2,91.1,77.7,98.2,960,74,31.5
Gujarat,Bhavnagar,"Calendar Year (Jan - Dec), 2019",49.4,45.7,74.3,94,32.6,59.8,94.2,72.9,96.9,942,74.2,26.3
Gujarat,Botad,"Calendar Year (Jan - Dec), 2019",58.8,49.3,65.1,77.6,32.2,63,93.5,72,99.3,975,71.8,22
Gujarat,Chhotaudepur,"Calendar Year (Jan - Dec), 2019",78.9,77.5,81.7,80.1,48.6,25.7,85.7,53,95.3,1016,53.2,20.3
Gujarat,Dang,"Calendar Year (Jan - Dec), 2019",77.2,79.8,91.3,96.2,37.6,23.4,74.5,71.7,95.9,1023,68.9,20.7
Gujarat,Devbhumi Dwarka,"Calendar Year (Jan - Dec), 2019",48.8,47.7,73.3,77,30.2,61.2,94.8,73.4,98.7,1010,66.1,15.8
Gujarat,Dohad,"Calendar Year (Jan - Dec), 2019",75.1,70.8,66.2,74.8,55.3,26.8,92.5,35.9,89.3,1047,56.1,23.1
Gujarat,Gandhinagar,"Calendar Year (Jan - Dec), 2019",68.8,49.3,77.7,95.2,38.1,76.9,97.8,84.6,97.8,924,81.8,37.9
Gujarat,Gir Somnath,"Calendar Year (Jan - Dec), 2019",49.9,57.8,69.9,93.5,44.4,46.8,87.1,74.3,99.5,981,73.1,30.8
Gujarat,Jamnagar,"Calendar Year (Jan - Dec), 2019",50.2,85.2,78.4,80,28.4,81.6,96.5,86.6,98.9,1004,83.1,35.3
Gujarat,Junagadh,"Calendar Year (Jan - Dec), 2019",58.8,48,93.5,93.4,37.3,67.2,97.4,81.7,99.3,999,82.8,35
Gujarat,Kachchh,"Calendar Year (Jan - Dec), 2019",57.5,76.5,70.2,75.3,37.5,67.2,97.4,85.8,99.2,979,75.6,24.1
Gujarat,Kheda,"Calendar Year (Jan - Dec), 2019",76.1,29.8,69,84.9,37.3,48,95.2,63.3,96.9,934,70.9,24.2
Gujarat,Mahesana,"Calendar Year (Jan - Dec), 2019",69.3,46.3,79.6,91.1,31,63.1,97.3,72.1,97.7,913,75.1,32.6
Gujarat,Mahisagar,"Calendar Year (Jan - Dec), 2019",72.5,73.3,80,83.4,43.4,47.4,93,44.4,95.2,993,70.9,33.9
Gujarat,Morbi,"Calendar Year (Jan - Dec), 2019",50.7,73.3,64.2,73.5,32.9,73.6,94.8,80.1,99.9,981,82.4,35.4
Gujarat,Narmada,"Calendar Year (Jan - Dec), 2019",75.9,80.2,82.8,93.8,47.2,31.3,81.7,54.6,92.7,1006,67.3,22.6
Gujarat,Navsari,"Calendar Year (Jan - Dec), 2019",68.7,78.2,95,95.5,36.8,70.2,99.3,80.1,98.7,1056,84.1,47.7
Gujarat,Panch Mahals,"Calendar Year (Jan - Dec), 2019",69.8,71.4,95.4,95.4,47.1,43.6,88.4,58.9,95.5,969,71.7,28.4
Gujarat,Patan,"Calendar Year (Jan - Dec), 2019",59.8,65.6,81,91.9,50.5,62.6,98.6,73.1,98.3,967,71.1,22.6
Gujarat,Porbandar,"Calendar Year (Jan - Dec), 2019",47.6,75.5,82.9,82.2,18.2,76.9,100,85.7,99.8,1000,84.3,35.9
